"","V1","time","country","valence","sky","temperature"
"140","201908",20,"is",0.499812713472485,0.278067612687813,50.5612903225807
"141","201909",21,"is",0.494541313340222,0.392791222313372,48.5008426966295
"142","201910",22,"is",0.499579118720173,0.404549147034931,42.0955465587045
"143","201911",23,"is",0.520854470069967,0.374343361986628,36.9987500000001
"144","201912",24,"is",0.529088972065001,0.375345303867403,33.3900000000001
"145","201801",1,"ch",0.483020999999997,0.295521653543307,41.0210020590255
"146","201802",2,"ch",0.487228357142855,0.343669527896996,30.2355893536122
"147","201803",3,"ch",0.48971466129032,0.286184210526316,39.1616758241758
"148","201804",4,"ch",0.485156249999994,0.234434410646388,55.4523775727467
"149","201805",5,"ch",0.483529322580642,0.271071428571429,60.5973919011668
"150","201806",6,"ch",0.486879383333332,0.234243697478992,66.1158640226629
"151","201807",7,"ch",0.49280674193548,0.206597222222222,70.5880412371135
"152","201808",8,"ch",0.494374145161284,0.224190848214286,70.2743994509266
"153","201809",9,"ch",0.491994683333326,0.25175702811245,61.3617021276595
"154","201810",10,"ch",0.477983387096769,0.320018796992481,50.9784488675359
"155","201811",11,"ch",0.470778249999991,0.395656779661017,41.5533523537804
"156","201812",12,"ch",0.497887306451613,0.311172161172161,38.7947838023336
"157","201901",13,"ch",0.46493022580645,0.274616626311542,32.5451923076924
"158","201902",14,"ch",0.477334267857145,0.265478424015009,37.9872243346007
"159","201903",15,"ch",0.496165677419355,0.218561973525872,44.7114167812931
"160","201904",16,"ch",0.491249633333336,0.252099664053751,48.8990786676116
"161","201905",17,"ch",0.497011258064517,0.223327688399661,51.9531914893618
"162","201906",18,"ch",0.501665666666668,0.216379915730337,67.3254790631653
"163","201907",19,"ch",0.508117887096774,0.227208646616541,69.4575549450551
"164","201908",20,"ch",0.4982229032258,0.217567155067155,66.5987654320988
"165","201909",21,"ch",0.498188049999992,0.229627921279213,59.2547652916072
"166","201910",22,"ch",0.499114516129027,0.239248704663212,52.7426218256695
"167","201911",23,"ch",0.502775699999995,0.313544415127529,41.8252661462029
"168","201912",24,"ch",0.521260129032258,0.304475164011246,38.0093683463449
"169","201801",1,"it",0.48235208064517,0.312085406301824,51.5252374491179
"170","201802",2,"it",0.464779660714285,0.335424411400248,45.7307346326837
"171","201803",3,"it",0.466696064516128,0.348764612114771,52.1811193526636
"172","201804",4,"it",0.471379416666669,0.306741573033708,60.9675297410776
"173","201805",5,"it",0.472743741935494,0.291973039215686,65.8114754098361
"174","201806",6,"it",0.489784583333349,0.265918580375783,72.6711578947369
"175","201807",7,"it",0.502159822580651,0.265835201793722,78.102868852459
"176","201808",8,"it",0.503690419354846,0.251886317907445,77.6793150684932
"177","201809",9,"it",0.50061993333334,0.271619496855346,71.6576200417536
"178","201810",10,"it",0.48387567741936,0.291566985645933,66.1619372442021
"179","201811",11,"it",0.466928233333344,0.322046109510086,56.9273492286116
"180","201812",12,"it",0.492261629032268,0.326445439739414,49.8066216216216
"181","201901",13,"it",0.482280774193555,0.328751728907331,44.4113590263693
"182","201902",14,"it",0.469288053571437,0.383245382585752,49.4957831325302
"183","201903",15,"it",0.484515387096782,0.3625,53.5756756756758
